Freq.,Free Freq.,Size,Surface Form,Establishment turn,Spanning,Priming,First Speaker,Turns,Span Lists,Dialogue id,Speakers,Experiment
2,0,1,to,59,1,5,A,"58,59","[[58, 59]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,1,but,85,1,3,A,"84,85","[[84, 85]]",2187,"A,M",Finetune DialoGPT - Normal
3,1,1,make,59,3,7,A,"58,59,61","[[58, 59, 61]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,1,know,31,3,2,A,"28,31","[[28, 31]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,1,this,47,3,3,A,"44,47","[[44, 47]]",2187,"A,M",Finetune DialoGPT - Normal
4,0,1,do,29,79,3,A,"28,29,102,107","[[28, 29], [102, 107]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,1,it's,95,5,2,A,"90,95","[[90, 95]]",2187,"A,M",Finetune DialoGPT - Normal
3,1,1,they,29,5,2,A,"28,29,33","[[28, 29, 33]]",2187,"A,M",Finetune DialoGPT - Normal
3,1,1,them,57,5,2,A,"54,57,59","[[54, 57, 59]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,1,go,29,1,1,A,"28,29","[[28, 29]]",2187,"A,M",Finetune DialoGPT - Normal
2,0,1,before,59,3,1,A,"56,59","[[56, 59]]",2187,"A,M",Finetune DialoGPT - Normal
5,1,2,yeah .,51,17,4,A,"50,51,62,65,67","[[50, 51], [62, 65, 67]]",2220,"A,M",Finetune DialoGPT - Normal
4,0,2,"that ,",103,9,1,A,"102,103,108,111","[[102, 103], [108, 111]]",2220,"A,M",Finetune DialoGPT - Normal
4,0,1,it,33,35,1,A,"28,33,58,63","[[28, 33], [58, 63]]",2220,"A,M",Finetune DialoGPT - Normal
6,0,1,know,33,89,1,A,"28,33,112,113,114,117","[[28, 33], [112, 113, 114, 117]]",2220,"A,M",Finetune DialoGPT - Normal
2,0,1,in,73,1,3,A,"72,73","[[72, 73]]",2220,"A,M",Finetune DialoGPT - Normal
4,2,1,but,111,7,3,A,"108,110,111,115","[[108, 110, 111], [110, 111, 115]]",2220,"A,M",Finetune DialoGPT - Normal
2,0,1,just,79,3,1,A,"76,79","[[76, 79]]",2220,"A,M",Finetune DialoGPT - Normal
2,0,1,of,31,3,1,A,"28,31","[[28, 31]]",2220,"A,M",Finetune DialoGPT - Normal
4,2,1,me,103,5,2,A,"100,102,103,105","[[100, 102, 103, 105]]",2220,"A,M",Finetune DialoGPT - Normal
2,0,1,got,31,5,2,A,"26,31","[[26, 31]]",2220,"A,M",Finetune DialoGPT - Normal
2,0,1,my,103,5,5,A,"98,103","[[98, 103]]",2220,"A,M",Finetune DialoGPT - Normal
2,0,1,then,69,3,2,A,"66,69","[[66, 69]]",2220,"A,M",Finetune DialoGPT - Normal
2,0,3,", i ,",49,3,1,A,"46,49","[[46, 49]]",2231,"A,M",Finetune DialoGPT - Normal
2,0,2,"uh ,",85,3,1,A,"82,85","[[82, 85]]",2231,"A,M",Finetune DialoGPT - Normal
15,5,1,i,27,63,1,A,"22,26,27,46,49,52,54,56,57,76,77,79,82,83,85","[[22, 26, 27], [26, 27], [46, 49], [52, 54, 56, 57], [54, 56, 57], [56, 57], [76, 77, 79], [82, 83, 85]]",2231,"A,M",Finetune DialoGPT - Normal
2,0,1,to,27,3,1,A,"24,27","[[24, 27]]",2231,"A,M",Finetune DialoGPT - Normal
5,1,1,in,63,21,1,A,"62,63,65,82,83","[[62, 63, 65], [82, 83]]",2231,"A,M",Finetune DialoGPT - Normal
3,1,1,just,27,3,2,A,"24,26,27","[[24, 26, 27], [26, 27]]",2231,"A,M",Finetune DialoGPT - Normal
2,0,1,like,83,1,2,A,"82,83","[[82, 83]]",2231,"A,M",Finetune DialoGPT - Normal
2,0,1,them,27,1,1,A,"26,27","[[26, 27]]",2231,"A,M",Finetune DialoGPT - Normal
2,0,1,get,27,3,1,A,"24,27","[[24, 27]]",2231,"A,M",Finetune DialoGPT - Normal
2,0,1,that's,11,1,1,A,"10,11","[[10, 11]]",2231,"A,M",Finetune DialoGPT - Normal
2,0,3,"i , i",47,1,1,A,"46,47","[[46, 47]]",2247,"A,M",Finetune DialoGPT - Normal
2,0,2,", i",47,1,2,A,"46,47","[[46, 47]]",2247,"A,M",Finetune DialoGPT - Normal
2,0,2,uh-huh .,31,1,4,A,"30,31","[[30, 31]]",2247,"A,M",Finetune DialoGPT - Normal
3,1,2,"well ,",37,3,1,A,"36,37,39","[[36, 37, 39]]",2247,"A,M",Finetune DialoGPT - Normal
2,0,2,"yeah ,",41,1,1,A,"40,41","[[40, 41]]",2247,"A,M",Finetune DialoGPT - Normal
12,2,1,i,9,47,2,A,"6,8,9,32,33,38,39,43,46,47,50,53","[[6, 8, 9], [8, 9], [32, 33], [38, 39, 43], [46, 47], [50, 53]]",2247,"A,M",Finetune DialoGPT - Normal
6,2,1,that,29,11,1,A,"24,26,29,32,33,35","[[24, 26, 29], [26, 29], [32, 33, 35]]",2247,"A,M",Finetune DialoGPT - Normal
4,2,2,"oh ,",23,7,3,A,"18,20,23,25","[[18, 20, 23], [20, 23, 25]]",2263,"A,M",Finetune DialoGPT - Normal
2,0,2,have a,9,3,1,A,"6,9","[[6, 9]]",2263,"A,M",Finetune DialoGPT - Normal
2,0,2,"well ,",51,5,2,A,"46,51","[[46, 51]]",2263,"A,M",Finetune DialoGPT - Normal
